Название,Компания,Зарплата,Навыки
Data Scientist,Фарпост,Зарплата не указана,"Deep Learning, SQL, Python"
Data Scientist,М Тех,Не указана,"SQL, Python"
Data Scientist (NLP|LLM),СберЗдоровье,Зарплата не указана,"NLP, LLM, Компьютерное зрение, Python"
Lead Data Scientist (LLM),IT-центр МГТУ им. Н.Э. Баумана,Не указана,"Python, LLM, NLP"
Data Scientist,М Тех,Не указана,"Python, SQL, Apache Kafka"
Data Scientist / Deep Learning engineer (нейронные сети / Time Series / NLP),Spice IT,Зарплата не указана,"PyTorch, Keras, TensorFlow, Deep Learning, Нейронные сети, NLP, SQL"
Data Engineer,М Тех,Зарплата не указана,"ClickHouse, Greenplum, Apache Airflow, Apache Spark, ETL"
Data Engineer,Т-Банк,Не указана,"Greenplum, SQL, Python, Apache Airflow, ETL, DWH, Apache NiFi"
Архитектор (Data/AI),СберЗдоровье,Зарплата не указана,"Python, DWH, ETL, Apache Airflow, Объектное хранилище S3"
Data analyst,ИТ-компания «Лоция»,Зарплата не указана,PostgreSQL
Data Engineer,Coral Club,Зарплата не указана,"PostgreSQL, SQL, Python, Базы данных"
Data Steward/Менеджер по данным,АстраЗенека,Зарплата не указана,"Базы данных, Алгоритмы и структуры данных"
Data Engineer,deeplay,Зарплата не указана,"SQL, PostgreSQL, Python"
Data Engineer (разработчик DWH),X5 Tech,Зарплата не указана,SQL
Data Engineer/Дата инженер (ученик),Aston,от 90 000 до 100 000 ₽,"Визуализация, NoSQL, SQL, Python, Agile, Математическая статистика, Базы данных"
Инженер качества данных/Data Quality Engineer,Банк России,Зарплата не указана,"Apache Spark, SQL, Pytest, Python, PostgreSQL, Linux, Базы данных, Git"
Аналитик данных,Яндекс,Зарплата не указана,"Python, Алгоритмы и структуры данных, Анализ данных, Математическая статистика"
Старший Data Engineer,Cloud.ru,Зарплата не указана,SQL
BI разработчик,CINIMEX,Зарплата не указана,"PowerBI, ClickHouse, Yandex DataLens, SQL"
Project Manager (BigData),МегаФон,Зарплата не указана,"LLM, Управление продуктами, A/B тестирование"
Руководитель группы разработки в Data center infrastructure management,Яндекс,Зарплата не указана,"Python, Golang, Управление людьми"
Lead ML Engineer (Computer Vision),Банк России,Зарплата не указана,"Компьютерное зрение, Python, SQL, Kubernetes, Docker, Apache Hadoop, Большие данные, Apache Airflow, Data Version Control, Prometheus"
Middle/Senior DevOps Engineer [МТС Веб Сервисы],МТС Web Services,Не указана,"Kubernetes, Terraform"
Product Analyst,Wildberries & Russ,Зарплата не указана,"SQL, Python, A/B тестирование"
Архитектор MLOps,Rubytech,Зарплата не указана,LLM
Аналитик данных,МегаФон,Зарплата не указана,"Python, SQL, Продуктовая аналитика, A/B тестирование"
MLOps Engineer,Aston,Зарплата не указана,LLM
IOS-разработчик,Okko,Не указана,"Objective-С, Swift"
Software Architect,Arenadata,Зарплата не указана,Apache Hadoop
Backend / Python Developer с опытом Reverse Engineering и спортивных данных,MST,от 1000 до 1500 $,"Python, Docker, Celery, FastAPI, PostgreSQL, Swagger, OpenAPI Specification"
MLops инженер,IBS,Зарплата не указана,"Python, ETL, Greenplum, Apache Hadoop, Apache Airflow, LLM, NLP"
Архитектор решений / Архитектор Presale (СУБД),МТ-Интеграция,Зарплата не указана,"PostgreSQL, SQL, Linux"
Руководитель отдела аналитики,LADA Цифра,Не указана,"SQL, Python, Apache Superset, BI, PowerBI, Анализ данных, Продуктовая аналитика, A/B тестирование"
Инженер данных,SimbirSoft,Не указана,"PostgreSQL, ClickHouse, Python, Apache Airflow, Apache NiFi"
Java разработчик (СОПББ),ИТ-Холдинг Т1,Зарплата не указана,Java
"Fullstack разработчик (Java, React)",Bell Integrator,Зарплата не указана,"Java, React"
C# Developer (WinForms + SQL),Ляпунов и Резниченко,от 350 000 ₽,"C#, Windows Forms, .NET, SQL, RESTful API"
Продуктовый аналитик в Путешествия,Яндекс,Не указана,"SQL, Python"
